Day;(All);;;;
;;;;;
Row Labels;Zon ;Consumptie ;Wind ;Nu;Fossiel
20/12/15 01:30;0;80,735;171,7075969;0;0
20/12/15 01:45;0;77,58;171,7075969;0;0
20/12/15 02:00;0;74,568;171,7075969;0;0
20/12/15 02:15;0;72,387;171,7075969;0;0
20/12/15 02:30;0;70,418;171,7075969;0;0
20/12/15 02:45;0;68,635;171,7075969;0;0
20/12/15 03:00;0;67,088;171,7075969;0;0
20/12/15 03:15;0;65,964;171,7075969;0;0
20/12/15 03:30;0;64,838;171,7075969;0;0
20/12/15 03:45;0;63,805;171,7075969;0;0
20/12/15 04:00;0;62,993;171,7075969;0;0
20/12/15 04:15;0;62,275;171,7075969;0;0
20/12/15 04:30;0;61,871;171,7075969;0;0
20/12/15 04:45;0;61,436;171,7075969;0;0
20/12/15 05:00;0;61,13;171,7075969;0;0
20/12/15 05:15;0;60,909;171,7075969;0;0
20/12/15 05:30;0;61,005;171,7075969;0;0
20/12/15 05:45;0;61,189;171,7075969;0;0
20/12/15 06:00;0;61,876;171,7075969;0;0
20/12/15 06:15;0;62,768;171,7075969;0;0
20/12/15 06:30;0;63,884;171,7075969;0;0
20/12/15 06:45;0;65,722;171,7075969;0;0
20/12/15 07:00;0;68,364;171,7075969;0;0
20/12/15 07:15;0;71,315;171,7075969;0;0
20/12/15 07:30;0;75,422;171,7075969;0;0
20/12/15 07:45;0;80,611;171,7075969;0;0
20/12/15 08:00;0;88,644;171,7075969;0;0
20/12/15 08:15;0;95,611;171,7075969;0;0
20/12/15 08:30;0;102,924;171,7075969;0;0
20/12/15 08:45;0;110,462;171,7075969;0;0
20/12/15 09:00;1,186784496;119,36;171,7075969;0;0
20/12/15 09:15;6,527314726;125,928;171,7075969;0;0
20/12/15 09:30;10,38436434;131,244;171,7075969;0;0
20/12/15 09:45;14,8348062;135,471;171,7075969;0;0
20/12/15 10:00;7,714099222;138,252;171,7075969;0;0
20/12/15 10:15;12,16454108;142,047;171,7075969;0;0
20/12/15 10:30;17,50507131;145,076;171,7075969;0;0
20/12/15 10:45;25,81256278;147,339;171,7075969;0;0
20/12/15 11:00;30,55970076;148,992;171,7075969;0;0
20/12/15 11:15;36,79031936;151,487;171,7075969;0;0
20/12/15 11:30;43,91102634;153,321;171,7075969;0;0
20/12/15 11:45;43,02093797;155,118;171,7075969;0;0
20/12/15 12:00;52,81191006;156,91;171,7075969;0;0
20/12/15 12:15;51,03173331;157,994;171,7075969;0;0
20/12/15 12:30;51,62512556;158,945;171,7075969;0;0
20/12/15 12:45;42,72424184;158,944;171,7075969;0;0
20/12/15 13:00;66,75662788;158,731;171,7075969;0;0
20/12/15 13:15;56,66895967;158,478;171,7075969;0;0
20/12/15 13:30;54,5920868;157,9;171,7075969;0;0
20/12/15 13:45;51,03173331;157,078;171,7075969;0;0
20/12/15 14:00;31,44978913;153,538;171,7075969;0;0
20/12/15 14:15;24,92247441;153,038;171,7075969;0;0
20/12/15 14:30;22,54890542;152,751;171,7075969;0;0
20/12/15 14:45;17,80176743;152,183;171,7075969;0;0
20/12/15 15:00;15,72489457;150,516;171,7075969;0;0
20/12/15 15:15;12,75793333;150,517;171,7075969;0;0
20/12/15 15:30;9,494275965;152,096;171,7075969;0;0
20/12/15 15:45;5,637226354;154,595;171,7075969;0;0
20/12/15 16:00;0;159,844;171,7075969;0;0
20/12/15 16:15;0;167,065;171,7075969;0;0
20/12/15 16:30;0;177,138;171,7075969;0;5,43040315
20/12/15 16:45;0;186,604;171,7075969;0;14,89640315
20/12/15 17:00;0;201,163;171,7075969;0;29,45540315
20/12/15 17:15;0;208,532;171,7075969;0;36,82440315
20/12/15 17:30;0;213,766;171,7075969;0;42,05840315
20/12/15 17:45;0;213,766;171,7075969;0;42,05840315
